Gene	GSM346111	GSM346114	GSM346115	GSM346116	GSM346117	GSM346118	GSM346120	GSM346122	Mean_Expression
YBR022W	42.848	31.964	61.509	67.675	141.415	116.935	80.493	120.925	82.97049999999999
YBR023C	23.387	23.206	22.462	24.789	63.001	69.453	43.644	56.278	40.7775
YBR024W	14.268	20.965	27.93	40.489	31.115	37.623	55.221	63.503	36.38925
YBR025C	826.022	993.792	644.163	776.781	593.29	597.482	422.417	449.957	662.988
YBR026C	70.974	51.817	180.514	169.103	71.014	58.685	137.484	160.633	112.528
YBR028C	21.617	13.052	21.669	17.684	54.952	46.995	40.591	42.621	32.397625
YBR029C	49.644	49.805	76.487	61.986	39.562	41.036	81.353	61.481	57.66925
YBR030W	9.927	11.27	4.58	10.624	56.006	63.911	42.122	29.393	28.479125
YBR033W	0.213	0.345	1.377	2.307	1.247	1.738	3.377	5.486	2.01125
YBR034C	102.732	120.68	35.055	34.112	297.57	357.42	122.276	102.713	146.56975
YBR035C	162.391	180.051	380.961	451.768	212.023	165.955	397.715	417.827	296.086375
YBR036C	98.703	72.447	135.53	124.63	98.758	148.594	171.841	184.37	129.359125
YBR037C	19.85	21.389	55.565	47.366	28.647	47.901	53.718	55.802	41.27975000000001
YBR038W	32.761	32.232	46.883	48.104	15.239	13.755	26.996	24.433	30.050375000000003
YBR039W	247.983	195.845	398.794	397.688	136.64	119.493	182.742	216.274	236.93237499999998
YBR040W	0.655	0.353	0.0	1.091	8.431	6.281	1.297	2.341	2.556125
YBR041W	31.903	24.442	43.486	40.686	61.304	55.568	85.774	87.649	53.8515
YBR042C	25.604	32.63	36.048	43.035	146.918	150.843	123.821	117.185	84.51050000000001
YBR043C	3.126	1.684	3.06	8.28	72.499	69.22	71.472	71.501	37.60525
YBR044C	6.832	9.938	5.149	13.079	65.95	62.067	38.553	42.479	30.505875000000003
YBR045C	1.366	1.104	2.207	1.706	8.793	10.481	5.411	5.127	4.524375
YBR046C	51.461	52.932	178.808	234.14	46.531	38.971	176.01	161.331	117.523
YBR047W	8.889	7.782	16.748	35.145	59.807	56.999	19.801	34.147	29.914749999999994
YBR049C	81.5	55.637	59.886	46.1	37.354	34.9	42.62	41.656	49.956624999999995
YBR050C	2.312	2.18	1.244	2.405	4.734	6.65	0.0	2.891	2.8019999999999996
YBR052C	84.391	115.418	381.407	429.974	167.114	169.842	504.989	605.804	307.36737500000004
YBR053C	45.299	40.284	119.869	159.458	74.719	81.899	258.285	324.535	138.04350000000002
YBR054W	46.565	28.454	92.932	73.268	26.58	27.226	22.489	40.181	44.711875
YBR055C	11.551	10.098	12.671	10.159	45.394	35.317	32.367	22.742	22.537374999999997
YBR056W	27.335	24.827	122.767	150.501	83.621	58.975	247.441	251.468	120.866875
YBR057C	51.254	34.23	48.284	51.107	73.093	51.961	82.46	58.0	56.298625
YBR058C	32.855	30.944	27.542	29.854	47.249	61.684	54.132	57.54	42.725
YBR058C-A	247.571	328.931	372.645	468.177	669.388	594.62	761.513	663.103	513.2434999999999
YBR059C	24.765	23.064	43.804	36.517	19.25	15.52	34.327	33.377	28.828000000000003
YBR060C	21.471	16.842	14.278	13.405	26.972	29.974	25.635	22.567	21.393
YBR061C	52.275	57.347	35.261	29.883	103.914	94.512	66.098	55.367	61.832125000000005
YBR062C	53.738	48.255	115.714	151.902	182.094	136.334	257.155	280.854	153.25575
YBR063C	0.0	0.261	1.042	2.417	36.237	39.902	47.907	34.238	20.250500000000002
YBR065C	19.325	13.883	9.247	14.299	50.252	36.546	73.344	65.607	35.312875
YBR066C	67.301	50.573	30.509	32.433	182.372	120.574	87.674	54.43	78.23325
YBR067C	528.602	426.199	650.988	629.136	317.952	376.587	229.541	194.202	419.15087500000004
YBR068C	110.576	118.978	69.216	107.83	394.94	385.737	190.313	246.05	202.955
YBR069C	96.776	83.664	12.258	19.481	217.603	252.155	35.07	46.79	95.474625
YBR070C	18.094	20.384	21.252	23.277	70.255	69.794	53.743	81.12	44.739875
YBR071W	81.225	58.681	95.4	72.222	51.843	67.263	51.175	53.435	66.4055
YBR072C-A	0.0	1.935	7.732	17.934	8.403	8.608	0.0	10.265	6.859624999999999
YBR072W	25.485	23.538	866.257	684.896	42.601	25.746	778.579	472.923	365.00312499999995
YBR073W	28.84	28.334	26.94	31.596	49.875	42.598	61.306	47.135	39.577999999999996
YBR074W	21.282	21.851	21.184	15.041	48.867	54.772	46.118	42.189	33.913
YBR076W	0.0	0.31	0.0	1.439	4.72	4.42	1.141	2.471	1.812625
YBR077C	100.746	90.466	157.535	154.743	162.796	162.152	235.113	234.871	162.30275
YBR078W	1460.765	1483.892	1406.69	1189.141	306.366	436.493	484.043	411.798	897.3984999999999
YBR079C	206.119	219.585	61.716	67.682	113.696	106.617	68.426	62.471	113.289
YBR080C	92.764	83.809	115.174	128.838	48.377	45.093	65.492	74.979	81.81575
YBR081C	12.216	11.498	17.748	12.619	30.656	21.169	35.556	31.558	21.627499999999998
YBR082C	703.919	560.767	967.24	1002.031	403.831	332.886	558.627	521.697	631.3747500000001
YBR083W	43.874	24.289	55.471	58.97	19.782	14.666	49.416	46.317	39.098125
YBR084W	119.987	97.89	36.786	41.156	124.645	135.383	41.389	38.497	79.466625
YBR085C-A	197.049	145.215	1009.546	1947.546	601.616	420.236	1130.188	1670.576	890.2465
YBR085W	15.899	20.558	9.586	12.175	71.438	81.101	26.444	23.18	32.547625
YBR086C	55.926	58.031	64.227	62.415	44.84	46.476	37.324	36.122	50.670125
YBR087W	41.393	34.196	19.014	48.697	230.553	220.148	100.542	129.381	102.9905
YBR088C	181.427	191.424	105.805	125.85	154.799	172.152	110.769	108.057	143.785375
YBR091C	65.628	73.585	72.568	51.676	153.589	126.708	84.294	117.898	93.24325
YBR094W	22.109	17.237	10.081	17.754	52.655	46.764	29.873	32.905	28.672250000000002
YBR095C	24.556	24.5	17.625	26.118	59.596	54.068	50.424	42.251	37.39224999999999
YBR096W	88.968	77.607	156.907	150.23	234.98	229.113	258.38	279.175	184.42
YBR097W	3.641	3.851	4.646	5.612	11.203	10.926	21.094	24.094	10.633375000000001
YBR098W	5.951	3.664	10.374	10.379	18.57	17.934	26.374	16.203	13.681125
YBR101C	123.16	160.632	69.56	93.555	317.369	285.556	209.226	161.138	177.5245
YBR102C	20.288	22.002	26.884	21.651	15.522	15.713	31.418	25.469	22.368375
YBR103W	14.996	12.218	8.664	22.53	109.139	90.486	96.327	116.592	58.869
YBR104W	37.399	29.745	14.061	10.871	254.93	243.623	82.283	84.007	94.61487500000001
YBR105C	11.335	6.979	24.408	19.769	15.158	18.115	26.72	33.177	19.457625
